"Date","Price","Open","High","Low","Vol.","Change %"
"12-03-2021","317.55","325.05","326.50","314.15","48.36M","-1.21%"
"10-03-2021","321.45","319.50","324.45","316.70","58.64M","1.98%"
"09-03-2021","315.20","325.00","328.35","309.60","74.70M","-1.88%"
"08-03-2021","321.25","331.75","331.75","318.80","81.93M","-1.20%"
"05-03-2021","325.15","333.00","337.85","319.70","86.74M","-4.14%"
"04-03-2021","339.20","339.00","345.40","337.30","59.86M","-2.67%"
"03-03-2021","348.50","348.65","357.00","346.50","92.01M","0.80%"
"02-03-2021","345.75","331.10","347.20","326.45","127.71M","5.32%"
"01-03-2021","328.30","330.00","331.85","322.70","61.19M","1.66%"
"26-02-2021","322.95","323.00","332.95","318.85","91.90M","-3.06%"
"25-02-2021","333.15","325.35","334.70","323.25","64.51M","3.58%"
"24-02-2021","321.65","325.00","330.00","316.50","50.82M","-0.73%"
"23-02-2021","324.00","308.50","328.90","308.50","133.31M","6.40%"
"22-02-2021","304.50","312.45","313.90","302.15","57.72M","-2.36%"
"19-02-2021","311.85","321.95","321.95","301.40","80.27M","-3.71%"
"18-02-2021","323.85","331.50","331.75","321.10","49.20M","-1.91%"
"17-02-2021","330.15","326.90","334.25","325.45","52.15M","0.29%"
"16-02-2021","329.20","335.45","337.90","327.50","65.94M","-1.24%"
"15-02-2021","333.35","329.90","335.80","324.00","78.68M","2.44%"
"12-02-2021","325.40","326.40","330.50","321.25","64.09M","0.12%"
"11-02-2021","325.00","326.45","331.35","323.40","55.26M","-1.19%"
"10-02-2021","328.90","326.00","332.65","319.50","93.47M","1.18%"
"09-02-2021","325.05","337.00","338.50","322.20","105.98M","-3.24%"
"08-02-2021","335.95","318.75","339.25","318.00","102.12M","6.35%"
"05-02-2021","315.90","327.60","330.00","312.60","103.51M","-3.14%"
"04-02-2021","326.15","329.00","334.50","322.45","121.03M","-1.47%"
"03-02-2021","331.00","339.20","341.90","326.20","224.19M","2.80%"
"02-02-2021","322.00","293.60","328.85","290.40","251.97M","15.16%"
"01-02-2021","279.60","269.75","282.00","255.35","165.66M","6.43%"
"29-01-2021","262.70","273.00","278.80","260.60","138.44M","-1.54%"
"28-01-2021","266.80","260.05","273.40","259.05","129.16M","-0.26%"
"27-01-2021","267.50","274.90","275.00","265.70","126.59M","-4.17%"
"25-01-2021","279.15","296.90","299.50","277.35","164.35M","-3.53%"
"22-01-2021","289.35","295.95","306.90","278.35","316.01M","-0.43%"
"21-01-2021","290.60","281.00","299.00","280.00","283.61M","5.71%"
"20-01-2021","274.90","260.00","277.50","258.85","205.15M","6.28%"
"19-01-2021","258.65","251.50","261.70","251.30","136.86M","5.16%"
"18-01-2021","245.95","261.65","262.45","241.15","173.38M","-5.51%"
"15-01-2021","260.30","246.00","264.65","242.60","250.04M","6.20%"
"14-01-2021","245.10","242.85","249.80","238.60","86.82M","1.03%"
"13-01-2021","242.60","242.90","248.80","238.40","164.65M","2.02%"
"12-01-2021","237.80","227.00","252.40","224.10","390.58M","7.77%"
"11-01-2021","220.65","199.90","225.40","199.65","182.48M","11.36%"
"08-01-2021","198.15","198.75","201.50","197.10","53.99M","0.71%"
"07-01-2021","196.75","197.00","200.35","195.10","66.02M","0.69%"
"06-01-2021","195.40","194.45","197.60","190.65","75.62M","1.14%"
"05-01-2021","193.20","187.10","193.90","185.05","75.75M","0.99%"
"04-01-2021","191.30","191.80","193.00","188.75","63.98M","2.57%"
